MALE      = mężczyzna
FEMALE    = kobieta
UNDEFINED = nieokreślone

JOB_ALL              = Wszystkie prace
JOB_DIRECTOR         = Dyrektor
JOB_DIRECTORS        = Dyrektorzy
JOB_ACTOR            = Aktor
JOB_ACTORS           = Aktorzy
JOB_SUPPORTINGACTOR  = Aktor drugoplanowy
JOB_SUPPORTINGACTORS = Aktorzy drugoplanowi
JOB_REPORTER         = Reporter
JOB_REPORTERS        = Reporterzy
JOB_GUEST            = Gość
JOB_GUESTS           = Goście
JOB_HOST             = Moderator
JOB_HOSTS            = Moderatorzy
JOB_SCRIPT           = Skrypt
JOB_SCRIPTWRITER     = Scenarzysta
JOB_SCRIPTWRITERS    = Scenarzyści
JOB_MUSIC            = Muzyka
JOB_MUSICIAN         = Muzyk
JOB_MUSICIANS        = Muzycy

JOB_AMATEUR                  = Amator
JOB_AMATEURS                 = Amatorzy
JOB_AMATEUR_DIRECTOR         = Reżyser amator
JOB_AMATEUR_DIRECTORS        = Reżyserzy amatorzy
JOB_AMATEUR_ACTOR            = Aktor amator
JOB_AMATEUR_ACTORS           = Aktorzy amatorzy
JOB_AMATEUR_SUPPORTINGACTOR  = Aktor drugoplanowy amator
JOB_AMATEUR_SUPPORTINGACTORS = Aktorzy drugoplanowi amatorzy
JOB_AMATEUR_REPORTER         = Reporter amator
JOB_AMATEUR_REPORTERS        = Reporterzy amatorzy
JOB_AMATEUR_GUEST            = Gość amator
JOB_AMATEUR_GUESTS           = Goście amatorzy
JOB_AMATEUR_HOST             = Nowy moderator
JOB_AMATEUR_HOSTS            = Nowi moderatorzy
JOB_AMATEUR_SCRIPTWRITER     = Niedoświadczony scenarzysta
JOB_AMATEUR_SCRIPTWRITERS    = Niedoświadczeni scenarzyści
JOB_AMATEUR_MUSICIAN         = Muzyk amator
JOB_AMATEUR_MUSICIANS        = Muzycy amatorzy

JOB_POSITION_UNASSIGNED = Wolny

CAST_EXPERIENCE       = Doświadczenie
CAST_FAME             = Sława
CAST_AFFINITY         = Podobieństwo
CAST_POWER            = Moc
CAST_HUMOR            = Humor
CAST_CHARISMA         = Charyzma
CAST_APPEARANCE       = Wygląd
CAST_FEE              = Opłata
CAST_JOB_EXPERIENCE   = Doświadczenie zawodowe
CAST_GENRE_EXPERIENCE = Doświadczenie gatunku

DIALOGUE_STUDIO_BRING_SOME_SCRIPT                         = Cześć %PLAYERNAME%,\n\nPrzynieś skrypt, a być może uda nam się stworzyć coś fajnego.
DIALOGUE_STUDIO_SCRIPT_HINT                               = Hmmm, nie mogę podać więcej szczegółów na temat skryptu. Może później będę mógł przybliżyć szczegóły scenariusza: na przykład płeć lub wiek roli. Ale to wszystko zależy od twórców.
DIALOGUE_STUDIO_SHOPPING_LIST_LIMIT_REACHED               = Przy okazji: nie ma już miejsca na kolejne listy zakupów. Nie mogę ci dać kolejnej, dopóki nie usuniesz pierwszej (wybierz listę zakupów i usuniesz ją prawym przyciskiem myszy).
DIALOGUE_STUDIO_YOU_NEED_TO_FINISH_PRODUCTION_PLANNING    = Aby rozpocząć produkcję, musisz zakończyć planowanie produkcji w supermarkecie.
DIALOGUE_STUDIO_YOU_NEED_TO_FINISH_PREPRODUCTION_PLANNING = Aby móc rozpocząć przedprodukcję, musisz najpierw zakończyć planowanie przedprodukcyjne w supermarkecie.

#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION                                                    = Du willst also |b|%SCRIPTTITLE%|/b| produzieren?
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PRODUCTION_PLANNED                               = Bisher ist |b|1 Produktion|/b| mit diesem Drehbuch geplant.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PRODUCTIONS_PLANNED                              = Bisher sind |b|%X% Produktion|/b| mit diesem Drehbuch geplant.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PRODUCTION_DONE                                  = Bisher wurde bereits |b|1 Produktion|/b| mit diesem Drehbuch durchgeführt.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PRODUCTIONS_DONE                                 = Bisher wurden bereits |b|%X% Produktionen|/b| mit diesem Drehbuch durchgeführt.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PRODUCTIONS_PLANNED_AND_Y_PRODUCTIONS_DONE       = Bisher sind |b|%X% Produktionen|/b| mit diesem Drehbuch geplant und |b|%Y%|/b| bereits durchgeführt.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PREPRODUCTION_PLANNED                            = Bisher ist |b|1 Vorproduktion|/b| mit diesem Drehbuch geplant.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PREPRODUCTIONS_PLANNED                           = Bisher sind |b|%X% Vorproduktion|/b| mit diesem Drehbuch geplant.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PREPRODUCTION_DONE                               = Bisher wurde bereits |b|1 Vorproduktion|/b| mit diesem Drehbuch durchgeführt.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PREPRODUCTIONS_DONE                              = Bisher wurden bereits |b|%X% Vorproduktionen|/b| mit diesem Drehbuch durchgeführt.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PREPRODUCTIONS_PLANNED_AND_Y_PREPRODUCTIONS_DONE = Bisher sind |b|%X% Vorproduktionen|/b| mit diesem Drehbuch geplant und |b|%Y%|/b| bereits durchgeführt.

#DIALOGUE_STUDIO_START_PRODUCTION                    = Produktion starten
#DIALOGUE_STUDIO_START_PREPRODUCTION                 = Vorproduktion starten
#DIALOGUE_STUDIO_START_ALL_X_POSSIBLE_PRODUCTIONS    = Alle möglichen Produktionen (%X%) durchführen.
#DIALOGUE_STUDIO_START_NEXT_EPISODE                  = Nächste mögliche Folge produzieren.
#DIALOGUE_STUDIO_START_ALL_X_POSSIBLE_PREPRODUCTIONS = Alle möglichen Vorproduktionen (%X%) durchführen.
#DIALOGUE_STUDIO_ASK_FOR_ANOTHER_SHOPPINGLIST        = Ich brauche noch eine weitere Einkaufsliste für dieses Drehbuch.
#DIALOGUE_STUDIO_ASK_FOR_A_SHOPPINGLIST              = Ich brauche eine Einkaufsliste für dieses Drehbuch.
#DIALOGUE_STUDIO_GOODBYE1                            = Tschüss.
#DIALOGUE_STUDIO_GOODBYE2                            = Bis später.

#DIALOGUE_STUDIO_CONCEPT_INTRO_FOR_TITLEX                   = Ich kann Dir folgendes zu Deiner geplanten Produktion |b|%TITLE%|/b| sagen:
#DIALOGUE_STUDIO_CONCEPT_UNPLANNED_FOR_TITLEX               = Die Produktionsplanung von |b|%TITLE%|/b| ist noch unvollständig. Wenn Du die Produktionsschwerpunkte festgelegt und eine Besetzung ausgesucht hast, kann ich Dir vielleicht ein paar Tipps geben.
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_BAD1                  = Das Genre des Drehbuchs passt nicht!
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_BAD2                  = Ein anderes Genre wäre besser gewesen.
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_AVERAGE1              = 
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_GOOD1                 = Genau das richtige Genre!
#DIALOGUE_STUDIO_CONCEPT_CAST_BAD_CASTSYMPATHY_BAD1         = Du hast eine miserable Besetzung zusammengestellt, aber wenigstens können sie Dich sowieso nicht leiden!
#DIALOGUE_STUDIO_CONCEPT_CAST_BAD_CASTSYMPATHY_AVERAGE1     = Du hast eine miserable Besetzung zusammengestellt.
#DIALOGUE_STUDIO_CONCEPT_CAST_BAD_CASTSYMPATHY_GOOD1        = Du hast eine miserable Besetzung zusammengestellt, immerhin kann sie Dich wirklich gut leiden.
#DIALOGUE_STUDIO_CONCEPT_CAST_AVERAGE_CASTSYMPATHY_BAD1     = Du hast eine durchschnittliche Besetzung zusammengestellt und sie kann Dich nichteinmalmal gut leiden!
#DIALOGUE_STUDIO_CONCEPT_CAST_AVERAGE_CASTSYMPATHY_AVERAGE1 = Du hast eine durchschnittliche Besetzung zusammengestellt.
#DIALOGUE_STUDIO_CONCEPT_CAST_AVERAGE_CASTSYMPATHY_GOOD1    = Du hast eine durchschnittliche Besetzung zusammengestellt und sie kann Dich wirklich gut leiden.
#DIALOGUE_STUDIO_CONCEPT_CAST_GOOD_CASTSYMPATHY_BAD1        = Du hast eine passende Besetzung zusammengestellt, aber sie kann Dich nichteinmal gut leiden!
#DIALOGUE_STUDIO_CONCEPT_CAST_GOOD_CASTSYMPATHY_AVERAGE1    = Du hast eine passende Besetzung zusammengestellt.
#DIALOGUE_STUDIO_CONCEPT_CAST_GOOD_CASTSYMPATHY_GOOD1       = Du hast eine passende Besetzung zusammengestellt und sie kann Dich wirklich gut leiden.
#DIALOGUE_STUDIO_CONCEPT_PRODUCTIONCOMPANY_BAD1             = Die Produktionsfirma ist eher unterirdisch
#DIALOGUE_STUDIO_CONCEPT_PRODUCTIONCOMPANY_AVERAGE1         = Die Produktionsfirma ist Durchschnitt
#DIALOGUE_STUDIO_CONCEPT_PRODUCTIONCOMPANY_GOOD1            = Die Produktionsfirma zählt zu den Besseren der Branche
#DIALOGUE_STUDIO_CONCEPT_EFFECTIVEFOCUSPOINTSRATIO_BAD1     = und Du solltest Deine Produktionsschwerpunkte besser verteilen!
#DIALOGUE_STUDIO_CONCEPT_EFFECTIVEFOCUSPOINTSRATIO_AVERAGE1 = und Du hast Deine Produktionsschwerpunkte mittelmäßig verteilt!
